,Episodes,Actions
0,1,1518
1,2,1752
2,3,451
3,4,1006
4,5,784
5,6,568
6,7,834
7,8,855
8,9,2200
9,10,130
10,11,291
11,12,2424
12,13,972
13,14,503
14,15,893
15,16,285
16,17,861
17,18,661
18,19,442
19,20,430
20,21,625
21,22,350
22,23,2023
23,24,1365
24,25,1457
25,26,348
26,27,810
27,28,1586
28,29,401
29,30,2161
30,31,1348
31,32,1583
32,33,2213
33,34,1687
34,35,1277
35,36,941
36,37,1774
37,38,980
38,39,1208
39,40,1218
40,41,2499
41,42,598
42,43,1445
43,44,2004
44,45,722
45,46,934
46,47,457
47,48,1305
48,49,1499
49,50,1193
50,51,1831
51,52,559
52,53,970
53,54,1406
54,55,1576
55,56,498
56,57,813
57,58,1767
58,59,172
59,60,487
60,61,383
61,62,776
62,63,1636
63,64,369
64,65,465
65,66,1481
66,67,604
67,68,2343
68,69,769
69,70,1848
70,71,597
71,72,1267
72,73,382
73,74,1973
74,75,1779
75,76,786
76,77,1406
77,78,1033
78,79,261
79,80,789
80,81,1011
81,82,178
82,83,753
83,84,570
84,85,962
85,86,1404
86,87,537
87,88,889
88,89,456
89,90,507
90,91,535
91,92,1709
92,93,712
93,94,329
94,95,773
95,96,753
96,97,534
97,98,1385
98,99,1153
99,100,434
100,101,631
101,102,1118
102,103,841
103,104,892
104,105,448
105,106,571
106,107,661
107,108,844
108,109,497
109,110,584
110,111,756
111,112,187
112,113,670
113,114,1646
114,115,1362
115,116,472
116,117,1255
117,118,531
118,119,452
119,120,533
120,121,1660
121,122,1268
122,123,742
123,124,1335
124,125,761
125,126,272
126,127,163
127,128,900
128,129,964
129,130,372
130,131,486
131,132,608
132,133,189
133,134,574
134,135,290
135,136,990
136,137,957
137,138,382
138,139,875
139,140,1065
140,141,863
141,142,698
142,143,499
143,144,179
144,145,671
145,146,719
146,147,977
147,148,418
148,149,903
149,150,687
150,151,680
151,152,584
152,153,932
153,154,1031
154,155,828
155,156,884
156,157,600
157,158,742
158,159,837
159,160,742
160,161,1500
161,162,597
162,163,707
163,164,548
164,165,505
